Jurassic Park,5
Back to the Future,4
Star Wars,4
Iron Man,4
The Dark Knight,4
Inception,4
X-Men: First Class,4
The Lost World: Jurassic Park,3
Gladiator,3
Pirates of the Caribbean: The Curse of the Black Pearl,3
Pirates of Silicon Valley,2
Aliens,2
Die Hard,2
Signs,2
Watchmen,2
Office Space,2
